0000001BATATA              0001000
0000002CENOURA             0001450
0000003ALFACE              0000100
0000004FILE MIGNON         0014000
0000005CAVIAR BELUGA       1325000
0000006TRUFA NEGRA         0099800
0000007FRANGO              0001950
0000008SHIMEJI             0001690
0000009BATATA DOCE         0002000
0000010SABAO EM PO         0005000
0000011COOKIES             0010000
0000012SABONETE            0001995
0000013ENERGY BAR          0012500
0000014REPELENTE           0002695
0000015SHAMPOO             0003280
0000016ABOBRINHA           0001100
0000017ATUM                0009200
0000018SALMAO              0008200
0000019CAFE                0001000
0000020ACUCAR              0000890
0000021LEITE               0004500
0000022LEITE DE COCO       0001420
0000023CURRY               0001900
0000024PAO DE MILHO        0001230
0000025PAO INTEGRAL        0001000
0000026MACA                0001100
0000027BANANA              0000900
0000028MELANCIA            0001500
0000029LARANJA             0002400
0000030PONKAN              0016200
0000031DEKOPON             0006200
0000032ABACAXI             0002200
0000033PERA                0001200
0000034MARACUJA            0001980
0000035JABUTICABA          0001950
0000036ABACATE             0002270
0000037TOMATE              0056000
0000038SPAGHETTI           0008500
0000039ALHO                0000800
0000040CEBOLA              0010400
0000041SAL                 0000500
0000042PIMENTA             0001000
0000043COMINHO             0000700
0000044FARINHA             0004400
0000045FAROFA              0001000
0000046SALSA               0000400
0000047POLVO               0015000
0000048WAKAME              0009000
0000049UDON                0012400
0000050DANGO               0003800
